antecedents,consequents,support,confidence,lift,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski,cosine,all_confidence,improvement,added_value,gini_index,lift_diff,kl_divergence
frozenset({'milk'}),frozenset({'soup'}),0.015197973603519531,0.11728395061728396,2.321231961953158,0.008650599686295217,1.0756272124089747,0.6539326567298934,0.0921584478577203,0.07030987272960504,0.2090377536727581,0.1878244448558546,0.05052659645380616,0.0667573541634778,0.0667573541634778,0.003146844557290241,1.321231961953158,0.14248718076737305
frozenset({'shrimp'}),frozenset({'tomatoes'}),0.011198506865751233,0.15671641791044774,2.2914811905385353,0.0063114901570871735,1.1047400169652895,0.6069736437288482,0.08704663212435233,0.09480965236781175,0.16022955398446365,0.16019103547010863,0.06839088121583789,0.08832553669460985,0.08832553669460985,0.0029599083083568364,1.2914811905385353,0.18747678592172143
frozenset({'tomatoes'}),frozenset({'shrimp'}),0.011198506865751233,0.16374269005847952,2.2914811905385353,0.0063114901570871735,1.1103554491102818,0.6049758770136561,0.08704663212435233,0.09938749721875877,0.16022955398446365,0.16019103547010863,0.07145713904812692,0.0922855510103526,0.0922855510103526,0.0030668459690481125,1.2914811905385353,0.19588217788312415
frozenset({'spaghetti'}),frozenset({'ground beef'}),0.03919477403012932,0.22511485451761104,2.2911621760333793,0.022087833962715117,1.1637162475833263,0.6823431228827286,0.16809605488850773,0.1406839922732999,0.31201468641755725,0.29966912379490757,0.09825356619117451,0.12686128832643653,0.12686128832643653,0.01367412827547767,1.2911621760333793,0.26925528086412176
frozenset({'ground beef'}),frozenset({'spaghetti'}),0.03919477403012932,0.3989145183175034,2.291162176033379,0.022087833962715117,1.3739973872558149,0.6249431765609852,0.16809605488850773,0.2721965781920247,0.31201468641755725,0.29966912379490757,0.17411011865084655,0.22480439966665686,0.22480439966665686,0.01879638108666769,1.291162176033379,0.4771335099166119
frozenset({'ground beef'}),frozenset({'grated cheese'}),0.011331822423676844,0.1153324287652646,2.201294015695292,0.006184021928658635,1.0711447062682031,0.6051831495460396,0.0813397129186603,0.06641932303999012,0.16580870802130915,0.15793882641124554,0.0523930142647647,0.0629394145004999,0.0629394145004999,0.002312391166359533,1.201294015695292,0.13128888383107334
frozenset({'grated cheese'}),frozenset({'ground beef'}),0.011331822423676844,0.2162849872773537,2.201294015695292,0.006184021928658635,1.1506050275547675,0.5758946009467377,0.0813397129186603,0.13089202980003403,0.16580870802130915,0.15793882641124554,0.09825356619117451,0.1180314210861792,0.1180314210861792,0.0038416190593899566,1.201294015695292,0.24620841573409935
frozenset({'ground beef'}),frozenset({'olive oil'}),0.014131449140114652,0.14382632293080055,2.183889166607156,0.007660677016605759,1.0910661462782247,0.6011682269060398,0.09422222222222223,0.08346528447323176,0.17920061085811284,0.17567446793873148,0.0658578856152513,0.07796843731554925,0.07796843731554925,0.003480302105553553,1.1838891666071558,0.16207783162961037
frozenset({'olive oil'}),frozenset({'ground beef'}),0.014131449140114652,0.2145748987854251,2.183889166607156,0.007660677016605759,1.1480998409834016,0.5803199495921868,0.09422222222222223,0.12899561144137695,0.17920061085811284,0.17567446793873148,0.09825356619117451,0.11632133259425059,0.11632133259425059,0.004763217232167677,1.1838891666071558,0.2418043763381029
"frozenset({'chocolate', 'spaghetti'})",frozenset({'milk'}),0.010931875749900012,0.2789115646258503,2.152382352117802,0.005852910230997773,1.2070881115222372,0.5572394047792288,0.06925675675675674,0.1715600622236948,0.1816368522717729,0.15339353454311347,0.12958272230369283,0.14932884232215748,0.14932884232215748,0.0043972355971183714,1.1523823521178018,0.30845788912559885
