support,confidence,lift,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
0.22147651006711408,0.6607501346164449,0.6283186045473627,0.5630392984633948,0.5478440205642534,0.6980115485310192,0.5048109360124405,0.6268637768188972,0.5682221724644194
0.22147651006711408,0.20361642481916536,0.6283186045473624,0.5630392984633948,0.19512824824075567,0.7909997995178399,0.5048109360124405,0.2515799342063362,0.5682221724644194
0.05033557046979862,0.45110243821645973,0.3318011379969462,0.2688807557676871,0.2510252180994713,0.4569016200013904,0.22086938771771653,0.31727361710308266,0.21406684256260686
0.05033557046979862,0.11884441152766982,0.3318011379969462,0.2688807557676871,0.09444444858529041,0.5158020591451641,0.22086938771771653,0.12634000859587094,0.21406684256260686
0.11073825503355708,0.5250957428282194,0.08449624130592787,0.09960800359228929,0.12018572399021005,0.14224646531281673,0.09693260794367656,0.15924581666049428,0.21802529583783478
0.11073825503355708,0.048141885186684816,0.08449624130592769,0.09960800359228929,0.015881322731673968,0.1955020713338976,0.09693260794367656,0.02188597010360299,0.21802529583783478
0.0369127516778523,0.4346594816360687,0.2807585640621892,0.22926848719900272,0.21713397280906202,0.4029532236121215,0.18331233018285484,0.27775504893061176,0.17673431193314584
0.0369127516778523,0.10425174079441418,0.2807585640621892,0.22926848719900272,0.07784337756911515,0.458662800826926,0.18331233018285484,0.1047811836236876,0.17673431193314584
0.18791946308724833,0.6837107762887344,0.28754265645466154,0.3204002836382677,0.36175117755651565,0.40681364600568665,0.2304714236549331,0.44005242327347016,0.45044463762932424
0.18791946308724833,0.08274386516461447,0.28754265645466154,0.3204002836382677,0.07149025924731103,0.516830547387873,0.2304714236549331,0.096459528398045,0.45044463762932424
0.07046979865771814,0.7944313716150238,0.42927840163377856,0.3376040888294029,0.5576222765368277,0.5287098859822912,0.11455272401031313,0.6360683618476879,0.5202910955669463
0.07046979865771814,0.030088678241678,0.42927840163377856,0.3376040888294029,0.07353777344582009,0.6819974498861517,0.11455272401031313,0.09914581266709845,0.5202910955669463
0.33221476510067116,0.3175151227436697,0.04584369675149989,0.10568126062993374,0.04593010030235987,0.09657121486633351,0.36186469262199683,0.06257364781623928,0.2345150775297676
0.33221476510067116,0.26943094427725106,0.04584369675149989,0.10568126062993374,0.03798133204905525,0.10088204354003112,0.36186469262199683,0.051901200688448446,0.2345150775297676
0.36241610738255037,0.33720251949553737,0.12856032635058648,0.23450955372049853,0.09884172052734357,0.24042611144023684,0.4391067793784137,0.13200583831795276,0.31165285792297137
0.36241610738255037,0.313870446069897,0.12856032635058628,0.23450955372049853,0.09230363054236776,0.2435518488449561,0.4391067793784137,0.12357486014887263,0.31165285792297137
0.0738255033557047,0.14907850608880197,0.3252763435705417,0.2794504421878982,0.10530200465757374,0.5031252155229208,0.26071882238321104,0.14029626364842845,0.21248836452510061
0.0738255033557047,0.419556108581283,0.3252763435705417,0.2794504421878982,0.23099168083144891,0.45544381988813226,0.26071882238321104,0.29402857540505767,0.21248836452510061
0.087248322147651,0.15782846020074323,0.011113998850749152,0.012477656551506523,0.005995800863872622,0.02819783761687482,0.14910042636400914,0.008294284229896719,0.01998494458363537
0.087248322147651,0.2507724172120295,0.011113998850749152,0.012477656551506523,0.01582443018531882,0.022526246554916373,0.14910042636400914,0.021808043453118986,0.01998494458363537
0.07718120805369125,0.40389865886101567,0.2961326444575153,0.2625136314540275,0.20954577919829445,0.4263966372790939,0.25479801699028304,0.2687756658538785,0.19628544606282733
0.07718120805369125,0.1512659946167873,0.2961326444575153,0.2625136314540275,0.09911372743560126,0.4697582579817165,0.25479801699028304,0.13235570655972118,0.19628544606282733
0.3053691275167785,0.3000152145197874,0.36222094823586215,0.4542511932398392,0.1842257016758752,0.5431704458098595,0.5254477703590483,0.2384576990202728,0.41792463362242954
0.3053691275167785,0.4394045941060273,0.36222094823586215,0.4542511932398392,0.25865543794798307,0.5168146310312499,0.5254477703590483,0.32604094131643935,0.41792463362242954
0.8221476510067114,0.6368884478295229,0.2276044164584754,0.5871979625202199,0.2860726843006193,0.3843713478442758,0.8091204990232548,0.357159781375044,0.7361505247211472
0.8221476510067114,0.3670818745484714,0.2276044164584754,0.5871979625202199,0.1603816623513923,0.4342484320622385,0.8091204990232548,0.20939620490587427,0.7361505247211472
0.48322147651006714,0.41595210650300796,0.24799092058004155,0.4429940827786842,0.19148635435893782,0.41085872876921986,0.6096115933426655,0.24720802871516862,0.4835626648976242
0.48322147651006714,0.37803452204930876,0.24799092058004155,0.4429940827786842,0.17482593841065516,0.41753620368522343,0.6096115933426655,0.2270610367671304,0.4835626648976242
0.003355704697986557,0.8327571986878196,0.47834009285536544,0.31136321475196393,0.6316282450172356,0.5619838650900267,0.03297665010559457,0.7039190895570927,0.5301995020550574
0.003355704697986557,0.0,0.47834009285536544,0.31136321475196393,0.06598843462624956,0.7311302612962302,0.03297665010559457,0.08922073997206093,0.5301995020550574
0.41275167785234906,0.3172960493376772,0.09303960607851511,0.1997846707039468,0.07390433365648769,0.1876085234109797,0.4525122662541549,0.09962629361752463,0.32554547734937556
0.41275167785234906,0.34532625809283696,0.09303960607851493,0.1997846707039468,0.08053595649004885,0.18427671982455207,0.4525122662541549,0.10829610797047601,0.32554547734937556
0.0436241610738255,0.0979143178107246,0.16158128176274247,0.14717982770188862,0.04701707658109927,0.2995440587016029,0.14543679192118256,0.06402807455391174,0.1102370896595951
0.0436241610738255,0.3857158140245762,0.16158128176274228,0.14717982770188862,0.13244477154243642,0.25981649183456273,0.14543679192118256,0.1746979228748634,0.1102370896595951
